cohort,time,event_time,att,se,n_treat,n_control,post
2019,2011,-8,-0.018372193957455707,0.27989495802513353,3,26,0
2019,2012,-7,0.07670682012318597,0.2928019712730065,3,26,0
2019,2013,-6,0.1073735030171894,0.28897500636091944,3,26,0
2019,2014,-5,-0.003549642546099574,0.28522597491428925,3,26,0
2019,2015,-4,0.021936208048593864,0.25539169418213425,3,26,0
2019,2016,-3,0.014958710339016301,0.2821992023421793,3,26,0
2019,2017,-2,0.02957584944688252,0.2858211944175336,3,26,0
2019,2018,-1,0.0,0.2739262883981848,3,26,0
2019,2019,0,0.09495856676799597,0.29976627075247897,3,26,1
2019,2020,1,0.08306905613607984,0.3138497882471229,3,26,1
2019,2021,2,0.06887668082527654,0.30402855687397745,3,26,1
2019,2022,3,0.12719479018098334,0.30754188292496853,3,26,1
2020,2010,-10,-0.018652914543806465,0.2974173471431999,3,26,0
2020,2011,-9,-0.08921216518346808,0.24944777873901755,3,26,0
2020,2012,-8,-0.07967035129382594,0.25773202291003144,3,26,0
2020,2013,-7,0.06346978169972262,0.30374104984066225,3,26,0
2020,2014,-6,-0.05887001930911662,0.2710725490609117,3,26,0
2020,2015,-5,-0.018244665605033572,0.30568773043483044,3,26,0
2020,2016,-4,0.01682902296383526,0.3303911406069336,3,26,0
2020,2017,-3,0.05552665019941805,0.3361023714075918,3,26,0
2020,2018,-2,0.027272256995408917,0.3209479490290305,3,26,0
2020,2019,-1,0.0,0.306168880787936,3,26,0
2020,2020,0,-0.10772166595846655,0.2928918835086057,3,26,1
2020,2021,1,-0.0011814821201443504,0.3089300458271525,3,26,1
2020,2022,2,-0.100555535376183,0.24651487782152043,3,26,1
2021,2010,-11,-0.1612277371079327,0.31212293497915145,2,26,0
2021,2011,-10,-0.06833226566075346,0.33681473416247687,2,26,0
2021,2012,-9,-0.09173718928265395,0.3247637553649975,2,26,0
2021,2013,-8,-0.00563622606335179,0.35090938491834356,2,26,0
2021,2014,-7,-0.15009690499944917,0.3121821971663452,2,26,0
2021,2015,-6,-0.08358195476314978,0.34477619132721377,2,26,0
2021,2016,-5,-0.08090325599942716,0.3728686056332392,2,26,0
2021,2017,-4,0.04427761608936209,0.3732250981747697,2,26,0
2021,2018,-3,0.0626813045661625,0.38018245083959074,2,26,0
2021,2019,-2,0.03035039592708655,0.32872844771332344,2,26,0
2021,2020,-1,0.0,0.35118633928844795,2,26,0
2021,2021,0,0.0749668937962591,0.32561735961259514,2,26,1
2021,2022,1,0.17013165292612475,0.35863856522010384,2,26,1
